,id,title,label,word count,SECTION_CLEANED
53,politifact13013,"UN Refugee Agency welcomes arrival of 10,000th Syrian refugee resettled to United States",1,13,UN Refugee Agency welcome arrival 10000th Syrian refugee resettle United States
54,politifact11191,Watch a replay of Fox News' 5 p.m. presidential debate,1,10,Watch replay Fox News 5 pm presidential debate
55,politifact12079,It’s Time for the Senate to Do Its Job – Congressman Mike Honda – Medium,1,15,Its Time Senate Do Its Job – Congressman Mike Honda – Medium
56,politifact551,"Ralph Nader on Barack Obama: ""It is Quite Clear He is a Corporate Candidate from A to Z""",1,18,Ralph Nader Barack Obama It Quite Clear He Corporate Candidate A Z
57,politifact11761,Marco Rubio says Ted Cruz voted for defense cuts in Rand Paul's budget proposal,1,14,Marco Rubio say Ted Cruz vote defense cut Rand Pauls budget proposal
58,politifact51,Births: Preliminary Data for 2005,1,5,Births Preliminary Data 2005
59,politifact10209,Congress: Job Ratings,1,3,Congress Job Ratings
60,politifact4887,"Before leaving governor’s office in 2006, Mitt Romney’s staff eliminated e-mail records",1,12,Before leave governors office 2006 Mitt Romneys staff eliminate email record
61,politifact11899,"Transcript: The Democratic debate in Milwaukee, annotated",1,7,Transcript The Democratic debate Milwaukee annotate
62,politifact514,"Crist has experience to be vice president, McCain says",1,9,Crist experience vice president McCain say
63,politifact385,Strong Words in Ohio as Obama and Clinton Press On,1,10,Strong Words Ohio Obama Clinton Press On
64,politifact2298,LexisNexis(R) Publisher,1,2,LexisNexisR Publisher
65,politifact1216,“Dictionary” on President Obama’s Health Care Taxes,1,7,“Dictionary President Obamas Health Care Taxes
66,politifact11989,Memory Lapse? Trump Seeks Distance From 'Advisor' With Past Ties to Mafia,1,12,Memory Lapse Trump Seeks Distance From Advisor With Past Ties Mafia
67,politifact1307,Gross Domestic Product Percent change from preceding period,1,8,Gross Domestic Product Percent change precede period
68,politifact13833,Who Benefits from President Trump’s Child Care Proposals,1,8,Who Benefits President Trumps Child Care Proposals
69,politifact636,Organizing for Action,1,3,Organizing Action
70,politifact442,2008 Presidential Election,1,3,2008 Presidential Election
71,politifact1135,The Return of the Viral Email,1,6,The Return Viral Email
72,politifact3693,'This Week' Transcript: Rep. Paul Ryan,1,6,This Week Transcript Rep Paul Ryan
73,politifact10408,International Energy Statistics,1,3,International Energy Statistics
74,politifact542,Interview with Sen John McCain,1,5,Interview Sen John McCain
75,politifact620,Obama campaign radio ad,1,4,Obama campaign radio ad
76,politifact979,Remarks by the President on a New Strategy for Afghanistan and Pakistan,1,12,Remarks President New Strategy Afghanistan Pakistan
77,politifact13310,"At Trump hotel site, immigrant workers wary",1,7,At Trump hotel site immigrant workers wary
78,politifact1281,"Preliminary Analysis of the Chairman’s Mark for the America’s Healthy Future Act, as Amended",1,14,Preliminary Analysis Chairmans Mark Americas Healthy Future Act Amended
79,politifact129,Candidate Comparison,1,2,Candidate Comparison
80,politifact11960,Political TV Ad Archive » PolAd,1,6,Political TV Ad Archive » PolAd
81,politifact12057,Ted Cruz' Full 'Meet the Press' Interview,1,7,Ted Cruz Full Meet Press Interview
82,politifact746,"""New Energy"" Ad",1,3,New Energy Ad
83,politifact212,Session Law,1,2,Session Law
84,politifact683,Interview with Rudy Giuliani,1,4,Interview Rudy Giuliani
85,politifact1755,"'This Week' Transcript: McKay, Napolitano, Salazar and Allen",1,8,This Week Transcript McKay Napolitano Salazar Allen
86,politifact245,Missing Teen-Ager Found in New Jersey,1,6,Missing TeenAger Found New Jersey
87,politifact14940,Full text: Jeff Flake on Trump speech transcript,1,8,Full text Jeff Flake Trump speech transcript
88,politifact2093,'This Week' Transcript: Biden,1,4,This Week Transcript Biden
89,politifact20,Rising to a New Generation of Global Challenges,1,8,Rising New Generation Global Challenges
90,politifact1177,Browse Congressional Bills,1,3,Browse Congressional Bills
91,politifact2959,Taxable Estates Estate Tax Liability and Average Estate Tax Rate By Size of Gross Estate,1,15,Taxable Estates Estate Tax Liability Average Estate Tax Rate By Size Gross Estate
92,politifact224,Biden Issues Statement Following Conversation with Musharraf,1,7,Biden Issues Statement Following Conversation Musharraf
93,politifact4875,Remarks by the President on the American Jobs Act,1,9,Remarks President American Jobs Act
94,politifact13058,remarks in Philadelphia,1,3,remark Philadelphia
95,politifact4275,Krugman calls Senate health care bill similar to law in Massachusetts,1,11,Krugman call Senate health care bill similar law Massachusetts
96,politifact182,US Government Accountability Office Report to Congressional Committees,1,8,US Government Accountability Office Report Congressional Committees
97,politifact13193,Philando Castile Had Been Stopped 52 Times By Police,1,9,Philando Castile Had Been Stopped 52 Times By Police
98,politifact763,Regular Session Senate Transcript,1,4,Regular Session Senate Transcript
99,politifact106,No More Dragging Up the Rear Arkansas Bows To Pressures To Put Schools To the Test,1,16,No More Dragging Up Rear Arkansas Bows To Pressures To Put Schools To Test
100,politifact7563,05/27/99 Committee on the Judiciary,1,5,052799 Committee Judiciary
101,politifact6612,About Bright Horizons Child Care & Family Solutions,1,8,About Bright Horizons Child Care Family Solutions
102,politifact8310,No MidOct Paycheck for Troops if Government Shuts Down Lawmaker says,1,11,No MidOct Paycheck Troops Government Shuts Down Lawmaker say
103,politifact11580,Full Interview Transcript: President Barack Obama,1,6,Full Interview Transcript President Barack Obama
104,politifact3113,National Income and Product Accounts Table 175 Relation of Gross Domestic Product,1,12,National Income Product Accounts Table 175 Relation Gross Domestic Product
105,politifact3050,America's Enduring Strength,1,3,Americas Enduring Strength
106,politifact998,Debt Day: A Symbol of Washington’s Arrogant Culture of Borrowing and Spending (Boehner Op-Ed on Townhall.com),1,16,Debt Day A Symbol Washingtons Arrogant Culture Borrowing Spending Boehner OpEd Townhallcom
107,politifact1488,'This Week' Transcript: Former Vice President Dick Cheney,1,8,This Week Transcript Former Vice President Dick Cheney
108,politifact1143,Transcript: Blue-Ribbon Panel on Health Care,1,6,Transcript BlueRibbon Panel Health Care
109,politifact8118,Republican response to President Barack Obamas Weekly radio address,1,9,Republican response President Barack Obamas Weekly radio address
110,politifact1213,The Colbert Report,1,3,The Colbert Report
111,politifact65,U.S. Senate: U.S. Senate Roll Call Votes 105th Congress,1,9,US Senate US Senate Roll Call Votes 105th Congress
112,politifact2943,Striking it Richer The Evolution of Top Incomes in the United States update with 2007 estimates,1,16,Striking Richer The Evolution Top Incomes United States update 2007 estimate
113,politifact1741,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1,9,Outlook Office Skype Bing Breaking News Latest Videos
114,politifact11855,China's Space Threat: How Missiles Could Target U.S. Satellites,1,9,Chinas Space Threat How Missiles Could Target US Satellites
115,politifact8737,Job Openings and Labor Turnover Survey News Release,1,8,Job Openings Labor Turnover Survey News Release
116,politifact1731,"'This Week' Transcript: Goolsbee, Brown & Corker",1,7,This Week Transcript Goolsbee Brown Corker
117,politifact756,Analysis of the 2008 Presidential Candidates’ Tax Plans,1,8,Analysis 2008 Presidential Candidates Tax Plans
118,politifact489,"U.S. considers 3,000 more troops for Afghanistan",1,7,US consider 3000 troop Afghanistan
119,politifact11709,"3rd Democratic debate transcript, annotated: Who said what and what it meant",1,12,3rd Democratic debate transcript annotate Who say mean
120,politifact9512,"Joni Ernst ""Promises"" Ad",1,4,Joni Ernst Promises Ad
121,politifact156,Testimony on the Alternative Minimum Tax,1,6,Testimony Alternative Minimum Tax
122,politifact497,Obama Criticizes McCain on Lobbyists,1,5,Obama Criticizes McCain Lobbyists
123,politifact6730,SECRET VIDEO: Romney Tells Millionaire Donors What He REALLY Thinks of Obama Voters,1,13,SECRET VIDEO Romney Tells Millionaire Donors What He REALLY Thinks Obama Voters
124,politifact2019,Peace Through Strength and American Pride vs. “Enemy-Centric” Policy,1,9,Peace Through Strength American Pride vs “EnemyCentric Policy
125,politifact7888,'This Week' Transcript: Sen. Dianne Feinstein and Rep. Mike Rogers,1,10,This Week Transcript Sen Dianne Feinstein Rep Mike Rogers
126,politifact12924,There’s another choice – Gov. Gary Johnson – Medium,1,9,Theres another choice – Gov Gary Johnson – Medium
127,politifact8130,Florida Democrats Ask HHS to Protect Floridians from High Insurance Premiums in Marketplace,1,13,Florida Democrats Ask HHS Protect Floridians High Insurance Premiums Marketplace
128,politifact215,Giuliani in New Hampshire,1,4,Giuliani New Hampshire
129,politifact5608,Sale of the Etch A Sketch Brand,1,7,Sale Etch A Sketch Brand
130,politifact783,"Transcript of second McCain, Obama debate",1,6,Transcript second McCain Obama debate
131,politifact258,"Romney For President Launches New Television Ad, ""Remember""",1,8,Romney For President Launches New Television Ad Remember
132,politifact412,Mike Gravel 2008,1,3,Mike Gravel 2008
133,politifact586,letter filed on behalf of Sen Barack Obama and the Obama Exploratory Committee,1,13,letter file behalf Sen Barack Obama Obama Exploratory Committee
134,politifact1212,School kids taught to praise Obama,1,6,School kid teach praise Obama
135,politifact8045,Reps Cummings and Cole Interviewed on MSNBC,1,7,Reps Cummings Cole Interviewed MSNBC
136,politifact1820,Local News Headlines Hawaii,1,4,Local News Headlines Hawaii
137,politifact2624,Michael Bennet for US Senate,1,5,Michael Bennet US Senate
138,politifact7506,U.S. Senator Rand Paul of Kentucky,1,6,US Senator Rand Paul Kentucky
139,politifact568,H.R.6060 - 109th Congress (2005-2006): Department of State Authorities Act of 2006,1,12,HR6060 109th Congress 20052006 Department State Authorities Act 2006
140,politifact1545,spreadsheet with key indicators from OECD Health Data 2009 health care expenditures per capita,1,14,spreadsheet key indicators OECD Health Data 2009 health care expenditures per capita
141,politifact247,Transcripts,1,1,Transcripts
142,politifact73,"Care Without Coverage: Too Little, Too Late",1,7,Care Without Coverage Too Little Too Late
143,politifact926,Rep Mike Pence Web site,1,5,Rep Mike Pence Web site
144,politifact7968,the Border Security Economic Opportunity and Immigration Modernization Act as passed by the Senate,1,14,Border Security Economic Opportunity Immigration Modernization Act pass Senate
145,politifact5469,White and Blue Fund ad,1,5,White Blue Fund ad
146,politifact548,Pledge of Allegiance E-mail,1,4,Pledge Allegiance Email
147,politifact780,McCain spoke up early,1,4,McCain speak early
148,politifact6603,"Ad says Obama apologized, showed weakness on Iran",1,8,Ad say Obama apologize show weakness Iran
149,politifact11189,Hillary Clinton Remarks at National Urban League Conference,1,8,Hillary Clinton Remarks National Urban League Conference
150,politifact6408,Friend of Israel also woos Palestinians Visiting Obama focuses on Israels right to defend itself,1,15,Friend Israel also woo Palestinians Visiting Obama focus Israels right defend
151,politifact7618,Transcripts,1,1,Transcripts
152,politifact312,"Saudi Arabia Energy Data, Statistics and Analysis",1,7,Saudi Arabia Energy Data Statistics Analysis
153,politifact8846,U.S. Solar Market Insight Report,1,5,US Solar Market Insight Report
154,politifact357,FrontPage Magazine,1,2,FrontPage Magazine
155,politifact10332,Obama: Gitmo inspires jihadists,1,4,Obama Gitmo inspire jihadists
156,politifact1279,RAW DATA: Dick Cheney's Remarks to the Center for Security Policy,1,11,RAW DATA Dick Cheneys Remarks Center Security Policy
157,politifact11294,Critical Mention,1,2,Critical Mention
158,politifact3131,Monthly Treasury Statement of Receipts and Outlays of the United States Government,1,12,Monthly Treasury Statement Receipts Outlays United States Government
159,politifact948,Remarks of Senator Barack Obama An Agenda for MiddleClass Success,1,10,Remarks Senator Barack Obama An Agenda MiddleClass Success
160,politifact1027,Is The End In Sight For Supermax?,1,7,Is The End In Sight For Supermax
161,politifact1454,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1,9,Outlook Office Skype Bing Breaking News Latest Videos
162,politifact13431,Tim Kaine's Speech in Spanish at an Arizona Rally: Read Now,1,11,Tim Kaines Speech Spanish Arizona Rally Read Now
163,politifact12627,Trump's Tough Talk on Hedge-Fund Taxes Doesn't Match His Plan,1,10,Trumps Tough Talk HedgeFund Taxes Doesnt Match His Plan
164,politifact13130,Crime in Chicago: Explore your community,1,6,Crime Chicago Explore community
165,politifact567,John McCain for President,1,4,John McCain President
166,politifact3117,Des Moines Register,1,3,Des Moines Register
167,politifact86,New York Election Results November 7,1,6,New York Election Results November 7
168,politifact11770,Sanders Supports Gun Safety Bill,1,5,Sanders Supports Gun Safety Bill
169,politifact2028,"""On and On""",1,3,On On
170,politifact15453,Sasse Statement on Trade War,1,5,Sasse Statement Trade War
171,politifact4586,Monthly Budget Review,1,3,Monthly Budget Review
172,politifact3281,'This Week' Transcript: Hillary Clinton,1,5,This Week Transcript Hillary Clinton
173,politifact5410,Centers for Disease Control and Prevention,1,6,Centers Disease Control Prevention
174,politifact6657,"Employment, Hours, and Earnings from the Current Employment Statistics survey (National) Home Page",1,13,Employment Hours Earnings Current Employment Statistics survey National Home Page
175,politifact7259,"NRA President David Keene Rejects White House Gun Control Approach | PBS NewsHour | Jan. 15, 2013",1,17,NRA President David Keene Rejects White House Gun Control Approach PBS NewsHour Jan 15 2013
176,politifact3632,Let’s Not Be Civil,1,4,Lets Not Be Civil
177,politifact414,Average cable TV bill cited in article on industry study,1,10,Average cable TV bill cite article industry study
178,politifact239,U.S. Department of Education Budget History,1,6,US Department Education Budget History
179,politifact954,LexisNexis(R) Publisher,1,2,LexisNexisR Publisher
180,politifact554,Transcript: Bob Barr on 'FOX News Sunday',1,7,Transcript Bob Barr FOX News Sunday
181,politifact13136,"The first Trump-Clinton presidential debate transcript, annotated",1,7,The first TrumpClinton presidential debate transcript annotate
182,politifact3731,Border Security The Role of the US Border Patrol,1,9,Border Security The Role US Border Patrol
183,politifact7511,Pelosi urges minimum-wage hike,1,4,Pelosi urge minimumwage hike
184,politifact12418,Clinton's Lead Over Trump Shrinks to 3 Points: New NBC News/WSJ Poll,1,12,Clintons Lead Over Trump Shrinks 3 Points New NBC NewsWSJ Poll
185,politifact95,FindArticles.com,1,1,FindArticlescom
186,politifact4028,All Nobel Peace Prizes,1,4,All Nobel Peace Prizes
187,politifact104,U.S. Senator John McCain,1,4,US Senator John McCain
188,politifact100,H.R.1025 - 103rd Congress (1993-1994): Brady Handgun Violence Prevention Act,1,10,HR1025 103rd Congress 19931994 Brady Handgun Violence Prevention Act
189,politifact10945,Hillary Clinton Transcript: Read Full Text of Clinton Campaign Launch,1,10,Hillary Clinton Transcript Read Full Text Clinton Campaign Launch
190,politifact486,John Hagee discusses Catholic Church,1,5,John Hagee discuss Catholic Church
191,politifact741,“Put Palin’s WolfKilling Record on Television”,1,6,“Put Palins WolfKilling Record Television
192,politifact246,Transcripts,1,1,Transcripts
193,politifact1714,"The Hill: Op-Ed: Go natural, go nuclear",1,7,The Hill OpEd Go natural go nuclear
194,politifact2734,Amendment to to declare English as the national language of the Government of the United States,1,16,Amendment declare English national language Government United States
195,politifact10889,Declining Business Dynamism in the United States A Look at States and Metros,1,13,Declining Business Dynamism United States A Look States Metros
196,politifact7872,Nexis®: Sign In,1,3,Nexis® Sign In
197,politifact1949,Rep. Vern Buchanan on Twitter,1,5,Rep Vern Buchanan Twitter
198,politifact462,Transcripts,1,1,Transcripts
199,politifact14225,Ivanka Trump: Father feels 'vindicated' after Comey hearing,1,8,Ivanka Trump Father feel vindicate Comey hear
200,politifact535,"McCain touts 'Gang of 14,' immigration reform",1,7,McCain tout Gang 14 immigration reform
201,politifact655,Planned Parenthood® Action Center,1,4,Planned Parenthood® Action Center
202,politifact809,CPD: 2008 Debate Transcript,1,4,CPD 2008 Debate Transcript
203,politifact1052,More Czars Than the Romanovs,1,5,More Czars Than Romanovs
204,politifact1435,"Impact of Senator Obama's Tax Proposals as Described by Economic Advisors on Workers, Distribution of Federal Tax Change by Cash Income Percentile, 2009",1,23,Impact Senator Obamas Tax Proposals Described Economic Advisors Workers Distribution Federal Tax Change Cash Income Percentile 2009
205,politifact787,"He says universal, but it's no guarantee",1,7,He say universal guarantee
206,politifact2964,Obama addresses key concerns for Floridians,1,6,Obama address key concern Floridians
207,politifact1199,Chairmans Mark Americas Healthy Future Act of 2009,1,8,Chairmans Mark Americas Healthy Future Act 2009
208,politifact9622,Op-ed by President Obama: President Obama Reflects on the Impact of Title IX,1,13,Oped President Obama President Obama Reflects Impact Title IX
209,politifact2881,'This Week' Transcript: Adm. Mike Mullen,1,6,This Week Transcript Adm Mike Mullen
210,politifact599,Obama Demands Investigation into Subprime Loan Discrimination,1,7,Obama Demands Investigation Subprime Loan Discrimination
211,politifact681,LexisNexis(R) Publisher,1,2,LexisNexisR Publisher
212,politifact4130,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1,9,Outlook Office Skype Bing Breaking News Latest Videos
213,politifact11066,Hillary Clinton Transcript: Building the ‘Growth and Fairness Economy’,1,9,Hillary Clinton Transcript Building Growth Fairness Economy
214,politifact1161,Topic A: How Can President Obama Regain His Political Footing?,1,10,Topic A How Can President Obama Regain His Political Footing
215,politifact285,AUTOS: The Dinosaur Hunter,1,4,AUTOS The Dinosaur Hunter
216,politifact9033,3/8/14 Sen. Rob Portman (R-OH) delivers Weekly GOP Address on American jobs,1,12,3814 Sen Rob Portman ROH deliver Weekly GOP Address American job
217,politifact959,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1,9,Outlook Office Skype Bing Breaking News Latest Videos
218,politifact8989,Forget Kiev. The Real Fight Will Be for Crimea,1,9,Forget Kiev The Real Fight Will Be Crimea
219,politifact445,2008 Presidential Election,1,3,2008 Presidential Election
220,politifact211,Public financial disclosure report,1,4,Public financial disclosure report
221,politifact516,McCain Campaigns In Nashville,1,4,McCain Campaigns In Nashville
222,politifact1315,H1N1 vaccinations to be offered to Guantanamo Bay detainees,1,9,H1N1 vaccinations offer Guantanamo Bay detainees
223,politifact11115,Inquiry Sought in Hillary Clinton’s Use of Email,1,8,Inquiry Sought Hillary Clintons Use Email
224,politifact8085,"CNN's Don Lemon: Bill O'Reilly's Criticism Of Black Community ""Doesn't Go Far Enough""",1,13,CNNs Don Lemon Bill OReillys Criticism Of Black Community Doesnt Go Far Enough
225,politifact4181,FY 2010 President's Budget,1,4,FY 2010 Presidents Budget
226,politifact3192,"""Give Me a Break"" Americans Against Food Taxes TV Ad 2011",1,11,Give Me Break Americans Against Food Taxes TV Ad 2011
227,politifact7923,Barack Obama on Twitter,1,4,Barack Obama Twitter
228,politifact69,Text - H.R.2122 - 106th Congress (1999-2000): Mandatory Gun Show Background Check Act,1,13,Text HR2122 106th Congress 19992000 Mandatory Gun Show Background Check Act
229,politifact923,Noted and Quoted,1,3,Noted Quoted
230,politifact374,The Associated Press: Obama Hits Clinton on NAFTA Support,1,9,The Associated Press Obama Hits Clinton NAFTA Support
231,politifact11577,"Democratic debate: Bernie Sanders really isn't as ""socialist"" as President Eisenhower",1,11,Democratic debate Bernie Sanders really isnt socialist President Eisenhower
232,politifact2816,"'This Week' Transcript: Madeleine Albright, Sen. Lindsey Graham, Sen. Kent Conrad and David Cote",1,14,This Week Transcript Madeleine Albright Sen Lindsey Graham Sen Kent Conrad David Cote
233,politifact1255,"Oct. 11: Levin, Graham, McCaffrey, Myers, roundtable",1,7,Oct 11 Levin Graham McCaffrey Myers roundtable
234,politifact3179,US Foreign Economic and Military Aid by Major Recipient Country The New York Times,1,14,US Foreign Economic Military Aid Major Recipient Country The New York Times
235,politifact4451,2011 Text of President Barack Obama’s proposed jobs bill Email interview with Lynne Bernabei,1,14,2011 Text President Barack Obamas propose job bill Email interview Lynne Bernabei
236,politifact6831,Republican consultant says Barack Obama promised to halve federal deficit in his first term,1,14,Republican consultant say Barack Obama promise halve federal deficit first term
237,politifact4080,2011 Urban InstituteBrookings Institution Tax Policy Center,1,7,2011 Urban InstituteBrookings Institution Tax Policy Center
238,politifact4850,"DNC TV AD: ""Trapped""",1,4,DNC TV AD Trapped
239,politifact7595,Fox News Sunday,1,3,Fox News Sunday
240,politifact4069,Remarks by the President in Twitter Town Hall,1,8,Remarks President Twitter Town Hall
241,politifact966,Press release AIG Discloses Counterparties to CDS GIA and Securities Lending Transactions,1,12,Press release AIG Discloses Counterparties CDS GIA Securities Lending Transactions
242,politifact4634,2011 via CQ subscribers only Tax Foundation,1,7,2011 via CQ subscribers Tax Foundation
243,politifact512,Barack Obama’s Remarks in St. Paul,1,6,Barack Obamas Remarks St Paul
244,politifact339,The Fact Hub,1,3,The Fact Hub
245,politifact57,"Key Facts: Race, Ethnicity and Medical Care",1,7,Key Facts Race Ethnicity Medical Care
246,politifact642,"Senator Biden’s Remarks in Springfield, Ill.",1,6,Senator Bidens Remarks Springfield Ill
247,politifact1251,Rockefeller: An Opportunity We Cant Pass Up,1,7,Rockefeller An Opportunity We Cant Pass Up
248,politifact10731,"Call 'Islamic terrorism' what it is: a threat to West, Jeb Bush says",1,13,Call Islamic terrorism threat West Jeb Bush say
249,politifact6652,Obama administration opens the door for states to seek major changes in welfaretowork law,1,14,Obama administration open door state seek major change welfaretowork law
250,politifact2435,Remarks by the President at CNBC Town Hall Discussion on Jobs,1,11,Remarks President CNBC Town Hall Discussion Jobs
251,politifact12770,Q&A: Did slaves build the White House?,1,7,QA Did slave build White House
252,politifact1256,"Health Reform Carries Heavy Price, Insurers Claim",1,7,Health Reform Carries Heavy Price Insurers Claim
253,politifact951,Obama’s Remarks at the White House Health Care Forum,1,9,Obamas Remarks White House Health Care Forum
254,politifact6472,"Remarks by the President at Campaign Event -- Colorado Springs, CO",1,11,Remarks President Campaign Event Colorado Springs CO
255,politifact1201,"Outlook, Office, Skype, Bing, Breaking News, and Latest Videos",1,9,Outlook Office Skype Bing Breaking News Latest Videos
256,politifact10185,"If Democrats Lose, Blame These Guys",1,6,If Democrats Lose Blame These Guys
257,politifact673,"McCAIN, John Sidney, III",1,4,McCAIN John Sidney III
258,politifact5868,REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT,1,11,REMARKS BY THE PRESIDENT AND FIRST LADY AT A CAMPAIGN EVENT
259,politifact1500,"As Dems’ “Stimulus” Anniversary Nears, Americans Ask: “Where are the Jobs?”",1,11,As Dems “Stimulus Anniversary Nears Americans Ask “Where Jobs
260,politifact7714,Rep Poe Interviewed on Fox Business Network,1,7,Rep Poe Interviewed Fox Business Network
261,politifact8769,Senate Democrats news conference on the Senate Climate Action Task Force,1,11,Senate Democrats news conference Senate Climate Action Task Force
262,politifact1825,'This Week' Transcript: Kaine and Steele,1,6,This Week Transcript Kaine Steele
263,politifact23,RACE FOR CITY HALL: The Republican Candidate; A Mercurial Mayor's Confident Journey,1,12,RACE FOR CITY HALL The Republican Candidate A Mercurial Mayors Confident Journey
264,politifact98,Encounters With 'Regular Guy' Fred Thompson -- New York Magazine,1,10,Encounters With Regular Guy Fred Thompson New York Magazine
265,politifact12751,US Trade in Goods,1,4,US Trade Goods
